Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
13.700	0.53	-0.22	0.22
13.720	0.52	-0.22	0.09
13.740	0.52	-0.22	0.31
13.760	0.52	-0.21	0.44
13.780	0.51	-0.20	0.32
13.800	0.51	-0.20	0.32
13.820	0.50	-0.19	0.43
13.840	0.50	-0.18	0.42
13.860	0.50	-0.17	0.54
13.880	0.49	-0.16	0.55
13.900	0.49	-0.15	0.42
13.920	0.49	-0.14	0.64
13.940	0.48	-0.13	0.76
13.960	0.48	-0.11	0.64
13.980	0.48	-0.10	0.75
14.000	0.48	-0.08	0.76
14.020	0.48	-0.07	0.65
14.040	0.48	-0.06	0.64
14.060	0.47	-0.04	0.75
14.080	0.47	-0.03	0.75
14.100	0.47	-0.01	0.75
14.120	0.47	0.00	0.87
14.140	0.47	0.02	0.75
14.160	0.47	0.03	0.74
14.180	0.47	0.05	0.87
14.200	0.48	0.07	0.76
14.220	0.48	0.08	0.64
14.240	0.48	0.09	0.75
14.260	0.48	0.11	0.76
14.280	0.48	0.12	0.65
14.300	0.49	0.14	0.54
14.320	0.49	0.15	0.53
14.340	0.49	0.16	0.64
14.360	0.50	0.17	0.64
14.380	0.50	0.18	0.76
14.400	0.50	0.20	0.67
14.420	0.51	0.21	0.33
14.440	0.51	0.21	0.21
14.460	0.52	0.22	0.32
14.480	0.52	0.23	0.32
14.500	0.52	0.23	0.32
14.520	0.53	0.24	0.35
14.540	0.53	0.25	-0.09
14.560	0.54	0.24	1.16
14.580	0.54	0.29	1.59
14.600	0.55	0.30	-1.06
14.620	0.56	0.25	-1.38
14.640	0.56	0.24	-0.14
14.660	0.57	0.24	0.37
14.680	0.57	0.26	-0.13
14.700	0.58	0.24	-1.26
14.720	0.58	0.21	-0.27
14.740	0.58	0.23	0.51
14.760	0.59	0.23	-0.51
14.780	0.59	0.21	-0.90
14.800	0.60	0.19	-0.44
14.820	0.60	0.19	-0.42
14.840	0.60	0.18	0.76
14.860	0.61	0.22	0.89
14.880	0.61	0.21	-2.15
14.900	0.62	0.13	-2.28
14.920	0.62	0.12	-0.62
14.940	0.62	0.11	-0.85
14.960	0.62	0.09	-1.00
14.980	0.62	0.07	-0.65
15.000	0.63	0.06	-0.52
15.020	0.63	0.05	-0.74
15.040	0.63	0.03	-0.85
15.060	0.63	0.01	-0.96
15.080	0.63	-0.01	-1.08
15.100	0.63	-0.03	-1.08
15.120	0.63	-0.05	-1.08
15.140	0.63	-0.07	-1.10
15.160	0.62	-0.09	-0.87
15.180	0.62	-0.11	-0.64
15.200	0.62	-0.12	-2.05
15.220	0.62	-0.19	-2.16
15.240	0.61	-0.21	0.54
15.260	0.61	-0.17	0.64
15.280	0.61	-0.18	-0.64
15.300	0.60	-0.19	-0.74
15.320	0.60	-0.21	-0.85
15.340	0.59	-0.23	-1.01
15.360	0.59	-0.25	-0.58
15.380	0.58	-0.25	-0.08
15.400	0.58	-0.25	-0.45
15.420	0.57	-0.27	-0.22
15.440	0.57	-0.26	-0.09
15.460	0.56	-0.27	-0.24
15.480	0.56	-0.27	-1.41
15.500	0.55	-0.33	-1.48
15.520	0.54	-0.33	1.08
15.540	0.54	-0.28	1.16
15.560	0.53	-0.28	-3.15E-13
15.580	0.53	-0.28	-0.01
15.600	0.52	-0.28	0.11
15.620	0.52	-0.28	0.10
15.640	0.51	-0.28	0.20
15.660	0.51	-0.27	0.42
15.680	0.50	-0.26	0.55
15.700	0.49	-0.25	0.45
15.720	0.49	-0.25	0.19
15.740	0.49	-0.24	0.53
15.760	0.48	-0.22	0.66
15.780	0.48	-0.22	0.42
15.800	0.47	-0.21	0.52
15.820	0.47	-0.19	0.75
15.840	0.46	-0.18	0.87
15.860	0.46	-0.16	0.75
15.880	0.46	-0.15	0.75
15.900	0.45	-0.13	0.75
15.920	0.45	-0.12	0.74
15.940	0.45	-0.10	0.97
15.960	0.45	-0.08	0.98
15.980	0.45	-0.06	0.75
16.000	0.45	-0.05	0.85
16.020	0.44	-0.03	1.08
16.040	0.44	-0.01	0.97
16.060	0.44	0.01	0.85
16.080	0.45	0.03	0.96
16.100	0.45	0.05	1.08
16.120	0.45	0.07	0.97
