Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
12,375	0,56	-0,17	-0,08
12,400	0,55	-0,17	0,07
12,425	0,55	-0,17	0,07
12,450	0,55	-0,17	-0,01
12,475	0,54	-0,17	0,13
12,500	0,54	-0,16	0,28
12,525	0,53	-0,15	0,21
12,550	0,53	-0,15	0,20
12,575	0,53	-0,14	0,28
12,600	0,52	-0,13	0,28
12,625	0,52	-0,13	0,27
12,650	0,52	-0,12	0,40
12,675	0,51	-0,11	0,55
12,700	0,51	-0,09	0,48
12,725	0,51	-0,08	0,48
12,750	0,51	-0,07	0,48
12,775	0,51	-0,06	0,47
12,800	0,50	-0,05	0,62
12,825	0,50	-0,03	0,69
12,850	0,50	-0,01	0,69
12,875	0,50	0,01	0,62
12,900	0,50	0,02	0,62
12,925	0,50	0,04	0,68
12,950	0,50	0,05	0,76
12,975	0,51	0,07	0,76
13,000	0,51	0,09	0,61
13,025	0,51	0,11	0,68
13,050	0,51	0,13	0,76
13,075	0,52	0,14	0,62
13,100	0,52	0,16	0,55
13,125	0,52	0,17	0,61
13,150	0,53	0,19	0,69
13,175	0,53	0,21	0,63
13,200	0,54	0,22	0,43
13,225	0,55	0,23	1,24
13,250	0,55	0,28	1,34
13,275	0,56	0,29	-0,41
13,300	0,57	0,26	-0,46
13,325	0,57	0,27	0,34
13,350	0,58	0,28	0,33
13,375	0,59	0,29	0,57
13,400	0,59	0,31	0,31
13,425	0,60	0,30	-0,28
13,450	0,61	0,29	-0,21
13,475	0,62	0,29	-0,19
13,500	0,62	0,28	0,61
13,525	0,63	0,32	0,82
13,550	0,64	0,32	-1,08
13,575	0,65	0,27	-1,43
13,600	0,65	0,25	-0,56
13,625	0,66	0,24	-0,34
13,650	0,66	0,23	-0,40
13,675	0,67	0,22	-0,54
13,700	0,68	0,21	-0,61
13,725	0,68	0,19	-0,69
13,750	0,69	0,17	-0,68
13,775	0,69	0,16	-0,75
13,800	0,69	0,14	-0,83
13,825	0,70	0,11	-0,76
13,850	0,70	0,10	-0,74
13,875	0,70	0,08	-0,96
13,900	0,70	0,05	-1,04
13,925	0,70	0,03	-0,90
13,950	0,70	0,01	-0,82
13,975	0,70	-0,02	-0,89
14,000	0,70	-0,04	-0,96
14,025	0,70	-0,06	-0,97
14,050	0,70	-0,09	-0,90
14,075	0,70	-0,11	-0,82
14,100	0,69	-0,13	-0,90
14,125	0,69	-0,15	-0,84
14,150	0,69	-0,17	-0,69
14,175	0,68	-0,19	-0,68
14,200	0,68	-0,20	-0,76
14,225	0,67	-0,23	-0,64
14,250	0,67	-0,24	-1,37
14,275	0,66	-0,29	-1,64
14,300	0,65	-0,32	0,12
14,325	0,64	-0,29	0,40
14,350	0,64	-0,30	-0,42
14,375	0,63	-0,31	-0,35
14,400	0,62	-0,32	-0,21
14,425	0,61	-0,32	-0,09
14,450	0,61	-0,32	-0,76
14,475	0,60	-0,36	-0,79
14,500	0,59	-0,36	0,75
14,525	0,58	-0,32	0,94
14,550	0,57	-0,31	0,27
14,575	0,56	-0,31	0,34
14,600	0,56	-0,30	0,35
14,625	0,55	-0,29	0,34
14,650	0,54	-0,28	0,48
14,675	0,54	-0,27	0,55
14,700	0,53	-0,25	0,55
14,725	0,52	-0,24	0,55
14,750	0,52	-0,22	0,61
14,775	0,51	-0,21	0,75
14,800	0,51	-0,19	0,83
14,825	0,50	-0,17	0,76
14,850	0,50	-0,15	0,75
14,875	0,49	-0,13	0,90
14,900	0,49	-0,10	0,90
14,925	0,49	-0,08	0,76
14,950	0,49	-0,07	0,75
14,975	0,49	-0,05	0,89
15,000	0,49	-0,02	0,97
15,025	0,49	0,00	0,90
15,050	0,49	0,02	0,75
15,075	0,49	0,04	0,82
15,100	0,49	0,06	0,91
