Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
8,540	0,65	-0,02	-0,81
8,560	0,65	-0,04	-1,39
8,580	0,65	-0,07	-1,56
8,600	0,65	-0,10	-0,98
8,620	0,65	-0,11	-0,84
8,640	0,64	-0,13	-1,10
8,660	0,64	-0,15	-0,87
8,680	0,64	-0,17	-0,72
8,700	0,63	-0,18	-0,95
8,720	0,63	-0,20	-2,49
8,740	0,63	-0,28	-2,61
8,760	0,62	-0,31	0,25
8,780	0,61	-0,27	1,14
8,800	0,61	-0,26	0,44
8,820	0,60	-0,25	-1,08
8,840	0,60	-0,31	-1,22
8,860	0,59	-0,30	0,63
8,880	0,59	-0,28	-0,48
8,900	0,58	-0,32	-1,28
8,920	0,57	-0,33	-0,03
8,940	0,57	-0,32	-1,07
8,960	0,56	-0,37	-1,38
8,980	0,55	-0,38	1,18
9,000	0,55	-0,33	1,28
9,020	0,54	-0,33	2,25E-13
9,040	0,53	-0,33	-0,02
9,060	0,53	-0,33	0,21
9,080	0,52	-0,32	0,33
9,100	0,51	-0,31	0,22
9,120	0,51	-0,31	0,21
9,140	0,50	-0,31	0,30
9,160	0,49	-0,30	0,65
9,180	0,49	-0,28	0,66
9,200	0,48	-0,27	0,42
9,220	0,48	-0,26	0,52
9,240	0,47	-0,25	0,75
9,260	0,47	-0,23	0,86
9,280	0,46	-0,22	0,87
9,300	0,46	-0,20	0,75
9,320	0,46	-0,19	0,75
9,340	0,45	-0,17	0,87
9,360	0,45	-0,15	0,75
9,380	0,45	-0,14	0,85
9,400	0,44	-0,12	1,08
9,420	0,44	-0,10	0,97
9,440	0,44	-0,08	0,95
9,460	0,44	-0,06	1,18
9,480	0,44	-0,03	1,20
9,500	0,44	-0,01	0,97
9,520	0,44	0,01	0,85
9,540	0,44	0,02	0,96
9,560	0,44	0,05	1,08
9,580	0,44	0,07	0,97
9,600	0,44	0,08	0,85
9,620	0,44	0,10	0,96
9,640	0,44	0,12	1,08
9,660	0,45	0,15	0,97
9,680	0,45	0,16	0,97
9,700	0,45	0,18	0,99
9,720	0,46	0,20	0,64
9,740	0,46	0,21	0,64
9,760	0,47	0,23	0,77
9,780	0,47	0,24	0,53
9,800	0,48	0,25	0,64
9,820	0,48	0,27	0,76
9,840	0,49	0,28	0,64
9,860	0,49	0,29	0,66
9,880	0,50	0,30	0,44
9,900	0,50	0,31	0,32
9,920	0,51	0,32	0,26
9,940	0,52	0,32	1,18
9,960	0,52	0,36	1,34
9,980	0,53	0,37	-0,84
10,000	0,54	0,33	-1,14
10,020	0,54	0,33	-0,25
10,040	0,55	0,32	0,25
10,060	0,56	0,34	-0,16
10,080	0,56	0,31	-0,97
10,100	0,57	0,30	0,42
10,120	0,58	0,33	0,66
10,140	0,58	0,32	-0,98
10,160	0,59	0,29	-0,90
10,180	0,59	0,29	-0,27
10,200	0,60	0,28	-1,09
10,220	0,61	0,25	0,37
10,240	0,61	0,30	1,48
10,260	0,62	0,30	-3,56
10,280	0,62	0,15	-2,45
10,300	0,62	0,21	2,75
10,320	0,63	0,26	-0,48
10,340	0,63	0,19	-2,56
10,360	0,64	0,16	-1,53
10,380	0,64	0,13	-1,37
10,400	0,64	0,11	1,05
